01-01-2015	Cold Day
01-02-2015	Cold Day
01-03-2015	Cold Day
01-04-2015	Hot Day
01-05-2015	Cold Day
01-06-2015	Hot Day
01-07-2015	Hot Day
02-01-2015	Cold Day
02-02-2015	Cold Day
02-03-2015	Cold Day
02-04-2015	Hot Day
02-05-2015	Cold Day
02-06-2015	Hot Day
02-07-2015	Hot Day
03-01-2015	Cold Day
03-02-2015	Cold Day
03-04-2015	Hot Day
03-05-2015	Cold Day
03-06-2015	Hot Day
03-07-2015	Hot Day
04-01-2015	Cold Day
04-02-2015	Cold Day
04-04-2015	Cold Day
04-05-2015	Hot Day
04-06-2015	Hot Day
04-07-2015	Hot Day
05-01-2015	Cold Day
05-02-2015	Cold Day
05-04-2015	Cold Day
05-05-2015	Hot Day
05-06-2015	Hot Day
05-07-2015	Hot Day
06-01-2015	Cold Day
06-02-2015	Cold Day
06-03-2015	Cold Day
06-04-2015	Hot Day
06-05-2015	Hot Day
06-06-2015	Hot Day
06-07-2015	Hot Day
07-01-2015	Cold Day
07-02-2015	Cold Day
07-03-2015	Cold Day
07-04-2015	Hot Day
07-05-2015	Hot Day
07-06-2015	Hot Day
07-07-2015	Hot Day
08-01-2015	Cold Day
08-02-2015	Cold Day
08-03-2015	Cold Day
08-04-2015	Hot Day
08-05-2015	Hot Day
08-06-2015	Cold Day
08-07-2015	Hot Day
09-01-2015	Cold Day
09-02-2015	Cold Day
09-03-2015	Cold Day
09-04-2015	Hot Day
09-05-2015	Hot Day
09-06-2015	Cold Day
09-07-2015	Hot Day
10-01-2015	Cold Day
10-02-2015	Cold Day
10-03-2015	Cold Day
10-04-2015	Cold Day
10-05-2015	Hot Day
10-06-2015	Hot Day
10-07-2015	Hot Day
11-01-2015	Cold Day
11-02-2015	Cold Day
11-03-2015	Cold Day
11-04-2015	Cold Day
11-05-2015	Hot Day
11-06-2015	Hot Day
11-07-2015	Hot Day
12-01-2015	Cold Day
12-02-2015	Cold Day
12-03-2015	Cold Day
12-04-2015	Hot Day
12-05-2015	Hot Day
12-06-2015	Hot Day
12-07-2015	Hot Day
13-01-2015	Cold Day
13-02-2015	Cold Day
13-03-2015	Cold Day
13-04-2015	Hot Day
13-05-2015	Hot Day
13-06-2015	Cold Day
13-07-2015	Hot Day
14-01-2015	Cold Day
14-02-2015	Cold Day
14-03-2015	Cold Day
14-04-2015	Cold Day
14-05-2015	Hot Day
14-06-2015	Hot Day
14-07-2015	Hot Day
15-01-2015	Cold Day
15-02-2015	Cold Day
15-03-2015	Cold Day
15-04-2015	Cold Day
15-05-2015	Hot Day
15-06-2015	Cold Day
15-07-2015	Hot Day
16-01-2015	Cold Day
16-02-2015	Cold Day
16-03-2015	Cold Day
16-04-2015	Cold Day
16-05-2015	Hot Day
16-06-2015	Hot Day
17-01-2015	Cold Day
17-02-2015	Cold Day
17-03-2015	Cold Day
17-04-2015	Cold Day
17-05-2015	Hot Day
17-06-2015	Cold Day
18-01-2015	Cold Day
18-02-2015	Cold Day
18-03-2015	Hot Day
18-04-2015	Cold Day
18-05-2015	Hot Day
18-06-2015	Cold Day
19-01-2015	Cold Day
19-02-2015	Cold Day
19-03-2015	Hot Day
19-04-2015	Cold Day
19-05-2015	Hot Day
19-06-2015	Hot Day
20-01-2015	Cold Day
20-02-2015	Cold Day
20-03-2015	Cold Day
20-04-2015	Cold Day
20-05-2015	Hot Day
20-06-2015	Hot Day
21-01-2015	Cold Day
21-02-2015	Cold Day
21-03-2015	Cold Day
21-04-2015	Cold Day
21-05-2015	Hot Day
21-06-2015	Hot Day
22-01-2015	Cold Day
22-02-2015	Cold Day
22-03-2015	Cold Day
22-04-2015	Hot Day
22-05-2015	Hot Day
22-06-2015	Hot Day
23-01-2015	Cold Day
23-02-2015	Cold Day
23-03-2015	Cold Day
23-04-2015	Hot Day
23-05-2015	Hot Day
23-06-2015	Hot Day
24-01-2015	Cold Day
24-02-2015	Cold Day
24-03-2015	Hot Day
24-04-2015	Hot Day
24-05-2015	Hot Day
24-06-2015	Hot Day
25-01-2015	Cold Day
25-02-2015	Cold Day
25-03-2015	Cold Day
25-04-2015	Hot Day
25-05-2015	Hot Day
25-06-2015	Hot Day
26-01-2015	Cold Day
26-02-2015	Cold Day
26-03-2015	Cold Day
26-04-2015	Hot Day
26-05-2015	Hot Day
26-06-2015	Hot Day
27-01-2015	Cold Day
27-02-2015	Cold Day
27-03-2015	Cold Day
27-04-2015	Hot Day
27-05-2015	Hot Day
27-06-2015	Hot Day
28-01-2015	Cold Day
28-02-2015	Cold Day
28-03-2015	Cold Day
28-04-2015	Cold Day
28-05-2015	Hot Day
28-06-2015	Hot Day
29-01-2015	Cold Day
29-03-2015	Cold Day
29-04-2015	Cold Day
29-05-2015	Hot Day
29-06-2015	Hot Day
30-01-2015	Cold Day
30-03-2015	Hot Day
30-04-2015	Cold Day
30-05-2015	Hot Day
30-06-2015	Hot Day
31-01-2015	Cold Day
31-03-2015	Hot Day
31-05-2015	Hot Day
